time,current_state,N_light,S_light,E_light,W_light,walk_signal,sensor_N,sensor_S,sensor_E,sensor_W,ped_request,emergency_dir
1015000,110,10,10,00,00,0,0,0,1,0,0,01
1025000,110,10,10,00,00,0,0,0,1,0,0,01
1035000,110,10,10,00,00,0,0,0,1,0,0,01
1045000,110,10,10,00,00,0,0,0,1,0,0,01
1055000,110,10,10,00,00,0,0,0,1,0,0,01
1065000,110,10,10,00,00,0,0,0,1,0,0,01
1075000,110,10,10,00,00,0,0,0,1,0,0,01
1085000,110,10,10,00,00,0,0,0,1,0,0,01
1095000,110,10,10,00,00,0,0,0,1,0,0,01
1105000,110,00,00,00,00,0,0,0,1,0,0,00
1115000,010,00,00,00,00,0,0,0,1,0,0,00
1125000,010,00,00,00,00,0,0,0,1,0,0,00
1135000,010,00,00,00,00,0,0,0,1,0,0,00
1145000,011,00,00,10,10,0,0,0,1,0,0,00
1155000,011,00,00,10,10,0,0,0,1,0,0,00
1165000,011,00,00,10,10,0,0,0,1,0,0,00
1175000,011,00,00,10,10,0,0,0,1,0,0,00
1185000,011,00,00,10,10,0,0,0,1,0,0,00
1195000,011,00,00,10,10,0,0,0,1,0,0,00
1205000,011,00,00,10,10,0,0,0,1,0,0,00
1215000,011,00,00,10,10,0,0,0,1,0,0,00
1225000,011,00,00,10,10,0,0,0,1,0,0,00
1235000,011,00,00,10,10,0,0,0,1,0,0,00
1245000,011,00,00,10,10,0,0,0,1,0,0,00
